wallet,moca_id,moca_xp
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3561,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3811,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3812,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,4272,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,4273,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,4520,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5262,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5552,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5571,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5623,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5636,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5637,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5776,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5849,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,5878,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,6046,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,6079,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,6129,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,6437,16
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,6619,16
0xe00387872306e8dcc82572a7759a17bf11a1cf7c,1072,16
0xe00387872306e8dcc82572a7759a17bf11a1cf7c,2242,16
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,1836,16
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,2587,16
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,2800,16
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,3186,16
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,3715,16
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,3964,16
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,5313,16
0x0a72b56ce331cf97b9c693a08dce49a9566753b1,6410,16
0xbd23d74267fccbd3496db251692ff598dd89d5af,1509,16
0xbd23d74267fccbd3496db251692ff598dd89d5af,3194,16
0xbd23d74267fccbd3496db251692ff598dd89d5af,4773,16
0xbd23d74267fccbd3496db251692ff598dd89d5af,6085,16
0xc99b9d4bbb924e3dec23db4a65cadd250845e8db,5978,16
0xc99b9d4bbb924e3dec23db4a65cadd250845e8db,5979,16
0x08318608eb8345cc899699ed978b2e9a76690198,1830,16
0x8a44382e374a95474e61d006c4c8c819cfcd4ccf,4222,16
0x2f7ddabb6ae1f06ff4de77b5cc137779e19d5be0,3123,16
0x2f7ddabb6ae1f06ff4de77b5cc137779e19d5be0,5578,16
0x4b864ba79b8ddb259dc3a74b901218a7eaaf1bd5,1842,16
0x43853aede65371186eac37a91e9e163724aeddcc,3056,16
0xbf2c11f61c4a005028a68fe6672c81fa3318418e,3803,16
0xab3ec2f97121fc16ddab7e3dc8956fe4907dc242,1544,16
